Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:14:16.945000,BOR,5,0 days 00:01:57.271000,58.0,3.0,,0 days 02:13:57.549000,0 days 00:00:28.104000,0 days 00:00:49.291000,0 days 00:00:39.876000,0 days 02:12:47.792000,0 days 02:13:37.083000,0 days 02:14:16.959000,146.0,136.0,,141.0,False,MEDIUM,15.0,True,Audi,0 days 02:12:19.674000,2026-06-07 14:20:11.933,4,17.0,False,,False,False
0 days 02:16:13.806000,BOR,5,0 days 00:01:56.861000,59.0,4.0,0 days 02:14:17.643000,0 days 02:15:49.895000,0 days 00:00:25.663000,0 days 00:00:50.187000,0 days 00:00:41.011000,0 days 02:14:42.622000,0 days 02:15:32.809000,0 days 02:16:13.820000,157.0,138.0,,219.0,False,MEDIUM,16.0,False,Audi,0 days 02:14:16.945000,2026-06-07 14:22:09.204,4,17.0,False,,False,False
0 days 02:17:37.621000,BOR,5,0 days 00:01:23.815000,60.0,5.0,0 days 02:16:14.540000,,0 days 00:00:24.037000,0 days 00:00:38.016000,0 days 00:00:21.762000,0 days 02:16:37.857000,0 days 02:17:15.873000,0 days 02:17:37.635000,184.0,180.0,251.0,270.0,False,SOFT,1.0,True,Audi,0 days 02:16:13.806000,2026-06-07 14:24:06.065,4,17.0,False,,False,False
0 days 02:19:01.559000,BOR,5,0 days 00:01:23.938000,61.0,5.0,,,0 days 00:00:21.163000,0 days 00:00:38.384000,0 days 00:00:24.391000,0 days 02:17:58.798000,0 days 02:18:37.182000,0 days 02:19:01.573000,186.0,161.0,129.0,270.0,False,SOFT,2.0,True,Audi,0 days 02:17:37.621000,2026-06-07 14:25:29.880,4,17.0,False,,False,False
0 days 02:20:35.501000,BOR,5,0 days 00:01:33.942000,62.0,5.0,,,0 days 00:00:31.443000,0 days 00:00:41.125000,0 days 00:00:21.374000,0 days 02:19:33.016000,0 days 02:20:14.141000,0 days 02:20:35.515000,98.0,178.0,252.0,271.0,False,SOFT,3.0,True,Audi,0 days 02:19:01.559000,2026-06-07 14:26:53.818,4,17.0,False,,False,False
0 days 02:21:56.590000,BOR,5,0 days 00:01:21.089000,63.0,5.0,,,0 days 00:00:21.173000,0 days 00:00:37.315000,0 days 00:00:22.601000,0 days 02:20:56.688000,0 days 02:21:34.003000,0 days 02:21:56.604000,180.0,183.0,252.0,272.0,False,SOFT,4.0,True,Audi,0 days 02:20:35.501000,2026-06-07 14:28:27.760,4,17.0,False,,False,False
0 days 02:23:19.470000,BOR,5,0 days 00:01:22.880000,64.0,5.0,,,0 days 00:00:21.848000,0 days 00:00:37.867000,0 days 00:00:23.165000,0 days 02:22:18.452000,0 days 02:22:56.319000,0 days 02:23:19.484000,168.0,186.0,249.0,264.0,False,SOFT,5.0,True,Audi,0 days 02:21:56.590000,2026-06-07 14:29:48.849,412,17.0,False,,False,False
0 days 02:25:14.548000,BOR,5,0 days 00:01:55.078000,65.0,5.0,,0 days 02:24:52.586000,0 days 00:00:29.458000,0 days 00:00:45.817000,0 days 00:00:39.803000,0 days 02:23:48.942000,0 days 02:24:34.759000,0 days 02:25:14.562000,111.0,152.0,,155.0,False,SOFT,6.0,True,Audi,0 days 02:23:19.470000,2026-06-07 14:31:11.729,24,16.0,False,,False,False
0 days 02:26:59.816000,BOR,5,0 days 00:01:45.268000,66.0,6.0,0 days 02:25:15.282000,,0 days 00:00:28.370000,0 days 00:00:49.403000,0 days 00:00:27.495000,0 days 02:25:42.932000,0 days 02:26:32.335000,0 days 02:26:59.830000,137.0,140.0,195.0,228.0,False,SOFT,7.0,False,Audi,0 days 02:25:14.548000,2026-06-07 14:33:06.807,4,16.0,False,,False,False
0 days 03:02:36.707000,BOR,5,,67.0,6.0,,0 days 02:28:47.606000,0 days 00:00:29.752000,0 days 00:00:50.415000,,0 days 02:27:29.791000,0 days 02:28:20.093000,,96.0,129.0,,159.0,False,SOFT,8.0,False,Audi,0 days 02:26:59.816000,2026-06-07 14:34:52.075,451,16.0,False,,False,False
0 days 03:05:02.967000,BOR,5,0 days 00:02:26.260000,68.0,7.0,0 days 03:02:37.500000,0 days 03:03:59.682000,0 days 00:00:27.134000,0 days 00:00:39.725000,0 days 00:01:19.401000,0 days 03:03:03.855000,0 days 03:03:43.580000,0 days 03:05:02.981000,144.0,174.0,,262.0,False,SOFT,1.0,True,Audi,0 days 03:02:36.707000,2026-06-07 15:10:28.966,14,16.0,False,,False,False
0 days 03:06:30.419000,BOR,5,0 days 00:01:27.452000,69.0,8.0,0 days 03:05:03.732000,,0 days 00:00:25.511000,0 days 00:00:39.376000,0 days 00:00:22.565000,0 days 03:05:28.492000,0 days 03:06:07.868000,0 days 03:06:30.433000,162.0,176.0,243.0,265.0,False,SOFT,2.0,False,Audi,0 days 03:05:02.967000,2026-06-07 15:12:55.226,4,16.0,False,,False,False
0 days 03:08:54.119000,BOR,5,0 days 00:02:23.700000,70.0,8.0,,,0 days 00:00:23.287000,0 days 00:00:49.379000,0 days 00:01:11.034000,0 days 03:06:53.720000,0 days 03:07:43.099000,0 days 03:08:54.133000,135.0,160.0,180.0,221.0,False,SOFT,3.0,False,Audi,0 days 03:06:30.419000,2026-06-07 15:14:22.678,41,16.0,False,,False,False
0 days 03:10:28.970000,BOR,5,0 days 00:01:34.851000,71.0,8.0,,,0 days 00:00:26.832000,0 days 00:00:46.992000,0 days 00:00:21.027000,0 days 03:09:20.965000,0 days 03:10:07.957000,0 days 03:10:28.984000,133.0,181.0,254.0,265.0,False,SOFT,4.0,False,Audi,0 days 03:08:54.119000,2026-06-07 15:16:46.378,12,14.0,False,,False,True
